init,city_id,city_name,market,stadium_area,city_lat,city_lon,grid_i,grid_j,grid_lat,grid_lon,record,lead_hour,valid_time,product_id,product_label,units,nearest_value,box_min,box_mean,box_median,box_max,box_p90,n_finite_5x5,is_sample_data
2026073100,houston,Houston,Houston,NRG Stadium area,29.6847,-95.4107,89,126,29.75,-95.5,0,12,2026-07-31 12:00 UTC,expected_precip,Expected precipitation,mm per 12h,0.026752294972538948,0.025807853788137436,0.02671925521766146,0.026740089058876038,0.027544664219021797,0.027331840619444846,24,False
2026073100,houston,Houston,Houston,NRG Stadium area,29.6847,-95.4107,89,126,29.75,-95.5,1,18,2026-07-31 18:00 UTC,expected_precip,Expected precipitation,mm per 12h,0.027560507878661156,0.02662523463368416,0.027527957300965984,0.027539284899830818,0.028340116143226624,0.02812645323574543,24,False
2026073100,houston,Houston,Houston,NRG Stadium area,29.6847,-95.4107,89,126,29.75,-95.5,2,24,2026-08-01 00:00 UTC,expected_precip,Expected precipitation,mm per 12h,0.027312973514199257,0.026402350515127182,0.02728027516665558,0.027284939773380756,0.02806301787495613,0.027854548022150993,24,False
2026073100,houston,Houston,Houston,NRG Stadium area,29.6847,-95.4107,89,126,29.75,-95.5,3,30,2026-08-01 06:00 UTC,expected_precip,Expected precipitation,mm per 12h,0.027522023767232895,0.026572121307253838,0.027489029647161562,0.027488532476127148,0.02830471470952034,0.028085278160870076,24,False
2026073100,houston,Houston,Houston,NRG Stadium area,29.6847,-95.4107,89,126,29.75,-95.5,4,36,2026-08-01 12:00 UTC,expected_precip,Expected precipitation,mm per 12h,0.028861163184046745,0.02815026044845581,0.02903819635200004,0.029102042317390442,0.029719656333327293,0.029493030719459058,24,False
2026073100,houston,Houston,Houston,NRG Stadium area,29.6847,-95.4107,89,126,29.75,-95.5,5,42,2026-08-01 18:00 UTC,expected_precip,Expected precipitation,mm per 12h,0.029783010482788086,0.029067324474453926,0.030114972575878102,0.030076083727180958,0.031041549518704414,0.030902996100485323,24,False
2026073100,houston,Houston,Houston,NRG Stadium area,29.6847,-95.4107,89,126,29.75,-95.5,6,48,2026-08-02 00:00 UTC,expected_precip,Expected precipitation,mm per 12h,0.07953666895627975,0.031668342649936676,0.11087386170402169,0.06521796807646751,0.34832513332366943,0.28771473318338386,24,False
2026073100,houston,Houston,Houston,NRG Stadium area,29.6847,-95.4107,89,126,29.75,-95.5,7,54,2026-08-02 06:00 UTC,expected_precip,Expected precipitation,mm per 12h,0.6880685091018677,0.1157415360212326,0.6886373488232493,0.7236633896827698,1.495821237564087,1.217440378665924,24,False
2026073100,houston,Houston,Houston,NRG Stadium area,29.6847,-95.4107,89,126,29.75,-95.5,8,60,2026-08-02 12:00 UTC,expected_precip,Expected precipitation,mm per 12h,0.925885796546936,0.6955140233039856,0.9791181509693464,0.9176161885261536,1.5073184967041016,1.2343684315681458,24,False
2026073100,houston,Houston,Houston,NRG Stadium area,29.6847,-95.4107,89,126,29.75,-95.5,9,66,2026-08-02 18:00 UTC,expected_precip,Expected precipitation,mm per 12h,0.314696729183197,0.0673639103770256,0.37644871789962053,0.2761164903640747,1.1794437170028687,0.8408296823501585,24,False
