lead_day,domain,threshold,model,categorical_forecast_source,categorical_event_rule,probabilistic_score_source,bss_reference,n_init,n_samples,n_events,base_rate,H,M,F,CN,POD,FAR,CSI,brier_score,bs_climatology,brier_skill_score,sum_squared_error,sum_clim_squared_error
Day1,CONUS,0p5inch,ANN-CSGD,distributional_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,38,506084,35795,0.07072936508563796,16371,19424,18343,451946,0.4573543791032267,0.5284035259549461,0.3023938823007869,0.04897782659942784,0.06349753981661306,0.22866576026598084,24786.89439674484,32135.088940550802
Day1,CONUS,0p5inch,raw_GEFS,ensemble_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,38,506084,35795,0.07072936508563796,13451,22344,13173,457116,0.3757787400474927,0.49477914663461536,0.2746895932037249,0.05118470175703517,0.06349753981661306,0.19391047425047547,25903.758604007387,32135.088940550802
Day2,CONUS,0p5inch,ANN-CSGD,distributional_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,37,492766,35479,0.07199969153715963,12879,22600,17271,440016,0.3630034668395389,0.5728358208955224,0.2441516587677725,0.053437892383825784,0.06458492335050958,0.1725949399395834,26332.376478408296,31825.254339737206
Day2,CONUS,0p5inch,raw_GEFS,ensemble_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,37,492766,35479,0.07199969153715963,10612,24867,12829,444458,0.2991065137123369,0.547288938185231,0.21967376003974498,0.05501032651072659,0.06458492335050958,0.14824817222156605,27107.2185533847,31825.254339737206
Day3,CONUS,0p5inch,ANN-CSGD,distributional_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,36,479448,34184,0.07129866012581135,9731,24453,12646,432618,0.2846653405101802,0.5651338427850024,0.20779414904975443,0.054389746747575934,0.06401933466149624,0.15041686960411238,26077.055298631785,30693.94196478505
Day3,CONUS,0p5inch,raw_GEFS,ensemble_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,36,479448,34184,0.07129866012581135,8129,26055,9364,435900,0.23780131055464546,0.5352998342194021,0.18666758519334986,0.055562489937998616,0.06401933466149624,0.13209829137108964,26639.32467579356,30693.94196478505
Day4,CONUS,0p5inch,ANN-CSGD,distributional_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,35,466130,33712,0.0723231716473945,8016,25696,9560,422858,0.23777883246321785,0.5439235320892125,0.18524681087077094,0.055861680516208864,0.06475293403259919,0.13731043464245363,26038.80513902044,30183.28514061546
Day4,CONUS,0p5inch,raw_GEFS,ensemble_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,35,466130,33712,0.0723231716473945,6845,26867,7513,424905,0.20304342667299477,0.5232622927984399,0.16604002425712552,0.05651633319499074,0.06475293403259919,0.1272004266781458,26343.958392181034,30183.28514061546
Day5,CONUS,0p5inch,ANN-CSGD,distributional_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,34,452812,33219,0.0733615716897962,4951,28268,8028,411565,0.14904121135494747,0.6185376377224747,0.12003297209494024,0.059661259885691376,0.06574709319669457,0.09256429471028171,27015.334411359683,29771.072764581662
Day5,CONUS,0p5inch,raw_GEFS,ensemble_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,34,452812,33219,0.0733615716897962,4532,28687,6513,413080,0.1364279478611638,0.5896785875961974,0.11406423034330011,0.06070223248563719,0.06574709319669457,0.07673131184620963,27486.699296286348,29771.072764581662
Day6,CONUS,0p5inch,ANN-CSGD,distributional_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,27,359586,26018,0.07235543096783523,3070,22948,4064,329504,0.11799523406872166,0.5696663863190357,0.10205438468186956,0.06097835241315583,0.0651545577369543,0.06409690233274068,21926.961830837052,23428.66679840045
Day6,CONUS,0p5inch,raw_GEFS,ensemble_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,27,359586,26018,0.07235543096783523,2990,23028,3878,329690,0.11492043969559536,0.5646476412347117,0.10001337971635,0.06197534732079891,0.0651545577369543,0.048794904402400974,22285.467241696795,23428.66679840045
Day7,CONUS,0p5inch,ANN-CSGD,distributional_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,27,359586,25798,0.07174361626982141,1591,24207,2174,331614,0.06167144739902318,0.5774236387782204,0.056878306878306875,0.06208823888332554,0.06452723932463404,0.037797997664799854,22326.0614670995,23203.091879787855
Day7,CONUS,0p5inch,raw_GEFS,ensemble_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,27,359586,25798,0.07174361626982141,1639,24159,2008,331780,0.06353205674858516,0.5505895256375103,0.058944112781414086,0.06319761367647404,0.06452723932463404,0.020605649057302777,22724.977111468597,23203.091879787855
Day1,CONUS,1inch,ANN-CSGD,distributional_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,38,506084,14574,0.028797590913761353,2403,12171,2894,488616,0.16488266776451216,0.5463469888616198,0.13756583466910924,0.02352632675846225,0.027536791846126844,0.14564024415315757,11906.29755122961,13935.929764655257
Day1,CONUS,1inch,raw_GEFS,ensemble_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,38,506084,14574,0.028797590913761353,2058,12516,2348,489162,0.14121037463976946,0.5329096686336814,0.12161683016191939,0.024491625871317983,0.027536791846126844,0.1105853576489585,12394.81998746009,13935.929764655257
